Name,Comprato,Conservato,Da comprare,N. Imbarco,N. Stiva,N. Totale,Posizione,Tipo
Felpa per il viaggio,,No,No,0,1,1,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 1,Vestiti
Occhiali,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Vestiti
Pantaloni per il viaggio,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Vestiti
Deodorante piccolo,,No,No,2,0,2,Nel bagaglio a mano: 2 — Nel bagaglio da stiva: 0,Bagno
Dentifricio,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Bagno
Cravatta,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Vestiti
Costumi,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Vestiti
Giubbotto verde,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Vestiti
Spazzolino elettrico,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Bagno
Salviette detergenti,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Gadgets
Copri WC Camera,,No,No,10,0,10,Nel bagaglio a mano: 10 — Nel bagaglio da stiva: 0,Gadgets
Apple Watch,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Elettronica
Carta di identità,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Documento
Ciabatte,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Vestiti
AirPods,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Elettronica
Magliette,,No,No,2,0,2,Nel bagaglio a mano: 2 — Nel bagaglio da stiva: 0,Vestiti
Triatec 5 mg,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Medicine
Passaporto,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Documento
Giacca,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Vestiti
Cintura,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Vestiti
Rilaten,,No,No,10,0,10,Nel bagaglio a mano: 10 — Nel bagaglio da stiva: 0,Medicine
Camicie,,No,No,4,4,8,Nel bagaglio a mano: 4 — Nel bagaglio da stiva: 4,Vestiti
Patente,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Documento
Tagliaunghie,,No,No,0,1,1,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 1,Bagno
Pantaloni,,No,No,1,1,2,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 1,Vestiti
Mutande,,No,No,4,6,10,Nel bagaglio a mano: 4 — Nel bagaglio da stiva: 6,Vestiti
Biglietti,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Documento
Carta di credito AMEX,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Documento
Power Bank,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Gadgets
Rasoio elettrico,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Bagno
Caricabatterie del rasoio,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Bagno
Caricabatterie dello spazzolino elettrico,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Bagno
Testina dello spazzolino di ricambio,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Bagno
Amuchina,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Gadgets
Filo milandentale,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Bagno
Contenitori di tessuto,,No,No,0,7,7,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 7,Bagno
Sacchetti ermetici IKEA,,No,No,0,9,9,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 9,Bagno
Polo,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Vestiti
Deodorante grande,,No,No,0,1,1,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 1,Bagno
iPhone,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Elettronica
Fazzoletti,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Gadgets
Triatec 10 mg,,No,No,14,0,14,Nel bagaglio a mano: 14 — Nel bagaglio da stiva: 0,Medicine
Lortaan 50 mg,,No,No,14,0,14,Nel bagaglio a mano: 14 — Nel bagaglio da stiva: 0,Medicine
Plasil,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Medicine
Bentelan,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Medicine
Augmentin,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Medicine
Cerotti,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Medicine
Termometro,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Medicine
Spray anti-insetti,,No,No,0,1,1,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 1,Medicine
Crema solare,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Medicine
Blefarette,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Medicine
Presa multipla USB-C,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Elettronica
Cavi di ricarica,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Elettronica
Carta di credito Mastercard,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Documento
Tessera sanitaria,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Documento
Contenitori del sapone,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Gadgets
Carta di identità,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Leonardo
Passaporto,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Leonardo
Paracetamolo,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Leonardo
"Bentelan 0,5 mg",,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Leonardo
Algidrin,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Leonardo
Nurofen,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Leonardo
Tessera sanitaria,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Leonardo
Calze,,No,No,4,5,9,Nel bagaglio a mano: 4 — Nel bagaglio da stiva: 5,Vestiti
Fazzoletti,,No,No,4,0,4,Nel bagaglio a mano: 4 — Nel bagaglio da stiva: 0,Bagno
iPad,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Elettronica
Giubbotto blu,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Vestiti
Pompa di aspirazione,,No,No,1,0,1,Nel bagaglio a mano: 1 — Nel bagaglio da stiva: 0,Gadgets
Guanti,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Vestiti
Sciarpa,,No,No,0,0,0,Nel bagaglio a mano: 0 — Nel bagaglio da stiva: 0,Vestiti
Tappi per orecchie,,No,No,,,0,Nel bagaglio a mano:  — Nel bagaglio da stiva:,Gadgets
,,No,No,,,0,Nel bagaglio a mano:  — Nel bagaglio da stiva:,
Maglietta del Milan per la patch di Baresi,,No,No,,,0,Nel bagaglio a mano:  — Nel bagaglio da stiva:,Vestiti
